numberOfC2Entities,numberOfSATCOMs,numberOfSeaBasedElements,numberOfSpaceBasedSensors,numberOfGroundBasedElements,groundBased_SensorRange_Max,Space_Based_Sensor_Max_Range,ProbabilityOfSuccess_GroundBased_Detect,ProbabilityOfSuccess_GroundBased_Classify,ProbabilityOfSuccess_GroundBased_Track,ProbabilityOfSuccess_GroundBased_Discriminate,ProbabilityOfSuccess_SpaceBased_Detect,ProbabilityOfSuccess_SpaceBased_Discriminate,ProbabilityOfSuccess_SpaceBased_Track,ProbabilityOfSuccess_SpaceBased_Classify,C2BMC_Communications_Delay,time_Delay_Between_Launches,Space_Based_Sensor_Communications_Transfer_Delay,Ground_Based_Sensor_Number_of_Interceptors_per_Magazine,Ground_Based_Sensor_Communication_Delay,Ground_Based_Sensor_Time_Between_Reports,Space_Based_Sensor_Time_Between_Reports,Space_Based_Sensor_Classification_Time,Space_Based_Sensor_Discrimination_Time,Space_Based_Sensor_Update_Frequency,Ground_Based_Sensor_Classification_Time,Ground_Based_Sensor_Discrimination_Time,Ground_Based_Sensor_Update_Interval,Sea_Based_Sensor_Velocity,Sea_Based_Sensor_Probability_of_Success_Detect,Sea_Based_Sensor_Probability_of_Success_Discriminate,Sea_Based_Sensor_Probability_of_Success_Classify,Sea_Based_Sensor_Probability_of_Success_Track,Sea_Based_Sensor_Range_Max,Sea_Based_Sensor_Communication_Delay,Sea_Based_Sensor_Time_Between_Reports,Sea_Based_Sensor_Number_of_Interceptors_per_Magazine,Sea_Based_Sensor_Reload_Time,Sea_Based_Sensor_Probability_of_Success_Threat_Destruction,Sea_Based_Sensor_Update_Interval,Sea_Based_Sensor_Classification_Time,Sea_Based_Sensor_Discrimination_Time,Sea_Based_Sensor_Interceptor_Max_Range,ProbabilityOfSuccess_GroundBased_Threat_Destruction,Ground_Based_Sensor_Reload_Time,Ground_Based_Sensor_Interceptor_Max_Range,ICBM_Range_Max,ICBM_Range_Min,C2BMC_Max_Number_of_Reports_to_Fuse_per_Second,C2BMC_Broadcast_Range,C2BMC_Number_of_Processing_Stations,Ground_Based_Sensor_Broadcast_Distance,Sea_Based_Sensor_Broadcast_Distance,Space_Based_Sensor_Broadcast_Distance,PrcntthatHIT
23,62,21,20,63,4407.78404,5269.220382,72.27797736,52.823347,81.79088354,88.8422172,61.32325472,85.7156347,74.38664152,66.50471275,2.705472615,33.34846515,48.91353393,34,21.89198987,7,13,60,58,55,50,37,11,0.012270607,58.09748039,81.52985031,92.08026812,53.17885939,8054.942055,40.35588602,33.41542987,75,4256.516908,78.73686435,22.08913027,20.29722637,39.92986612,4169.85344,70.58200209,3382.928984,7372.184254,6172.626204,2336.384952,27,1471.436905,97,8020.458756,7727.329216,3295.49101,77
46,92,88,8,2,8400.476509,6057.415498,62.16832404,90.29691887,51.49583101,96.0744767,82.46765719,83.91441638,93.0284524,81.48253195,2.883361504,51.705432,14.25121063,28,0.181565113,39,8,43,23,32,46,34,32,0.019249839,79.08357536,62.84080815,81.9075712,78.24028387,6351.378661,10.48961041,37.86270985,98,1866.065448,65.35667371,37.07681633,56.71512802,19.91273546,5397.318164,88.37798379,1159.378257,3533.34021,3505.477322,2298.54994,6,2818.680804,78,8265.213095,1237.270561,8168.034727,0
90,88,60,61,9,5253.516652,7057.0291,82.8500577,74.71115287,63.02412073,73.01839629,60.44743797,71.75029709,99.06538387,96.53580356,9.807659457,13.70206955,28.327013,30,46.24588435,54,51,60,56,8,2,12,19,0.016345475,50.5673381,55.09844242,91.67138686,76.14299803,7118.822168,46.17441289,18.40016794,96,4091.003108,95.54092436,26.40747231,52.7796274,3.554923146,3082.460393,65.26692422,1471.720998,2641.219317,4099.932821,1762.936343,45,4151.796743,100,7521.31216,7899.96478,4940.464406,0
85,83,33,37,30,7754.895729,4022.46615,54.1448057,90.06164766,53.82599246,96.25129663,95.3437759,51.37350019,74.08938105,93.51397497,8.364127348,10.61725534,27.44055248,25,28.51273286,49,44,11,21,58,22,9,46,0.017474807,65.53260843,79.69470685,62.18455369,76.88284776,4857.899908,9.284607823,12.45331044,70,3035.268955,96.85040049,21.97764308,16.99357282,44.52714572,2758.308405,94.61095177,3197.183243,3840.967492,6107.232774,2562.166359,19,6898.732553,82,7964.554681,8091.302705,3103.801098,0
12,65,4,12,38,8014.427873,5787.342732,51.96924361,71.81651107,93.06799745,89.370785,52.32607797,99.29310556,79.31625684,64.67636321,3.388190153,31.04833319,42.33916456,59,32.58327278,2,26,31,46,9,32,50,44,0.016656524,67.36383305,87.86298521,88.52631334,78.48702851,7112.564761,37.21559007,30.09397146,92,1205.199826,88.32492236,51.93361078,52.52785747,58.24460866,4366.025965,67.93125025,340.6998457,4525.863856,4124.274432,1695.630024,49,7473.995952,40,5884.627248,1941.881737,4525.440064,0
53,74,15,54,72,2228.820893,8346.477245,97.96472426,98.26834202,70.10964314,61.95276493,85.48104218,84.34253402,50.83194389,87.59742364,9.846574075,16.61684507,56.33560582,100,25.57516605,25,58,14,46,16,27,7,37,0.018061234,80.43765533,92.40897284,67.93277692,96.87577315,5348.046847,54.69579396,57.09941435,55,2256.414435,61.67954566,30.22509603,52.94688161,14.35454471,4400.96895,53.86384226,3292.47659,2716.704908,3883.067156,2171.499591,3,2078.374621,94,8251.15599,6465.975584,5392.152856,0
52,52,52,52,52,5250,5250,75,75,75,75,75,75,75,75,5.5,30.5,30.5,52,30,32,32,32,32,32,32,32,32,0.015,74.5,74.5,74.5,74.5,5250,30.5,30.5,52,3000,74.5,30.5,30.5,30.5,5250,74.5,1800.5,5250,5500,2250,32,4250,52,5250,4750,5250,0
66,11,53,100,8,6637.480005,5073.267089,93.36889595,96.29193015,98.16464492,63.61185913,73.05269938,51.1486428,86.71346413,95.93969371,8.178795911,30.7386621,24.63680288,24,46.7950279,42,52,12,20,36,10,4,55,0.011732262,64.05477771,70.54863046,91.39077216,62.71413269,2175.42908,26.8953269,57.74944489,68,4390.251781,52.31762031,30.66433219,20.01874657,4.939988006,3919.338137,97.97012973,908.5842859,4849.791062,7090.823962,1866.883153,5,1108.249919,27,8460.921177,4201.792751,6257.034023,8
2,2,2,2,2,2000,2000,50,50,50,50,50,50,50,50,1,1,1,2,0,2,2,2,2,2,2,2,2,0.01,50,50,50,50,2000,1,1,2,1000,50,1,1,1,2000,50,1,2000,3000,1500,2,1000,2,2000,1000,2000,0
83,6,37,76,76,2819.810089,6271.703176,56.20087547,94.33081367,90.12480781,85.74267394,55.60672186,51.85199329,85.53566719,58.96722365,6.040736227,49.63391038,49.73368364,25,31.59776873,32,54,21,35,16,49,35,42,0.010341693,82.65392466,55.97502702,60.18977592,97.5749496,5465.884012,43.31092834,22.59384684,12,3423.050609,72.36718109,6.681128318,14.22699086,37.74646148,3437.352115,82.81044893,364.6644343,7882.655914,7103.55008,2087.844215,60,3558.435302,68,5920.886835,6538.519182,2296.911344,0
