----------------------------------------------------------
Condition, ContributionRate, % of Meeting/Exceeding Cases
----------------------------------------------------------
maxBirthRate = minBirthRate, 1.0000, 0.4491
maxBirthRate == minBirthRate AND maxBirthRate > stress, 1.0000, 0.4491
maxBirthRate == minBirthRate AND maxBirthRate > hgcling, 1.0000, 0.4491
hgcling < 0.07928862349394579, 0.7215, 0.5832
changeRate < resistChange AND changeRate > hgcling, 0.5156, 0.1667
technology < resistChange AND technology > hgcling, 0.5111, 0.1653
changeRate < technology AND changeRate > hgcling, 0.4881, 0.1578
minBirthRate > 1.4082523226054797, 0.4533, 0.6108
maxBirthRate < 1.5917476773945203, 0.4444, 0.5988
technology == resistChange AND technology > hgcling, 0.3889, 0.1257
resistChange > hgcling, 0.3822, 0.6180
changeRate < resistChange AND changeRate == hgcling, 0.3822, 0.1236
changeRate == resistChange AND changeRate > hgcling, 0.3822, 0.1236
resistChange < maxBirthRate AND resistChange > hgcling, 0.3822, 0.6180
resistChange < minBirthRate AND resistChange > hgcling, 0.3822, 0.6180
resistChange < stress AND resistChange > hgcling, 0.3822, 0.6180
technology < resistChange AND technology == hgcling, 0.3778, 0.1222
technology > hgcling, 0.3681, 0.5952
changeRate < technology AND changeRate == hgcling, 0.3681, 0.1190
changeRate == technology AND changeRate > hgcling, 0.3681, 0.1190
technology < maxBirthRate AND technology > hgcling, 0.3681, 0.5952
technology < minBirthRate AND technology > hgcling, 0.3681, 0.5952
technology < stress AND technology > hgcling, 0.3681, 0.5952
changeRate > hgcling, 0.3659, 0.5916
changeRate < maxBirthRate AND changeRate > hgcling, 0.3659, 0.5916
changeRate < minBirthRate AND changeRate > hgcling, 0.3659, 0.5916
changeRate < stress AND changeRate > hgcling, 0.3659, 0.5916
changeRate > technology AND changeRate > hgcling, 0.3244, 0.3147
technology > resistChange AND technology > hgcling, 0.3136, 0.3042
changeRate > resistChange AND changeRate > hgcling, 0.3106, 0.3013
resistChange > 0.22071137650605047, 0.3037, 0.2455
minBirthRate > stress, 0.2895, 0.9102
minBirthRate > stress AND minBirthRate > hgcling, 0.2895, 0.9102
0.6633009290421816 > stress > 0.336699070957891, 0.2889, 0.3892
stress < 0.336699070957891, 0.2889, 0.3892
changeRate > technology AND changeRate < resistChange, 0.2741, 0.0886
changeRate < resistChange, 0.2637, 0.4263
changeRate < resistChange AND changeRate < maxBirthRate, 0.2637, 0.4263
changeRate < resistChange AND changeRate < minBirthRate, 0.2637, 0.4263
changeRate < resistChange AND changeRate < stress, 0.2637, 0.4263
changeRate < technology AND changeRate < resistChange, 0.2617, 0.2539
technology < resistChange, 0.2593, 0.4192
changeRate == technology AND changeRate < resistChange, 0.2593, 0.0838
changeRate > technology AND changeRate == resistChange, 0.2593, 0.0838
technology < resistChange AND technology < maxBirthRate, 0.2593, 0.4192
technology < resistChange AND technology < minBirthRate, 0.2593, 0.4192
technology < resistChange AND technology < stress, 0.2593, 0.4192
technology > 0.22071137650601885, 0.2519, 0.2036
technology = resistChange, 0.2519, 0.2036
changeRate == technology AND changeRate == resistChange, 0.2519, 0.0407
technology == resistChange AND technology < maxBirthRate, 0.2519, 0.2036
technology == resistChange AND technology < minBirthRate, 0.2519, 0.2036
technology == resistChange AND technology < stress, 0.2519, 0.2036
technology == resistChange AND technology == hgcling, 0.2519, 0.0407
changeRate < technology, 0.2496, 0.4036
changeRate < technology AND changeRate < maxBirthRate, 0.2496, 0.4036
changeRate < technology AND changeRate < minBirthRate, 0.2496, 0.4036
changeRate < technology AND changeRate < stress, 0.2496, 0.4036
carryingCapacity > 0, 0.2474, 1.0000
changeRate > 0, 0.2474, 1.0000
technology > 0, 0.2474, 1.0000
resistChange > 0, 0.2474, 1.0000
maxBirthRate > 0, 0.2474, 1.0000
minBirthRate > 0, 0.2474, 1.0000
stress > 0, 0.2474, 1.0000
hgcling > 0, 0.2474, 1.0000
carryingCapacity > 14082.523226054796, 0.2474, 0.3333
14082.523226054796 > carryingCapacity > 5917.476773945204, 0.2474, 0.3333
carryingCapacity < 5917.476773945204, 0.2474, 0.3333
changeRate > 0.22071137650605416, 0.2474, 0.2000
0.22071137650605416 > changeRate > 0.07928862349394587, 0.2474, 0.6000
changeRate < 0.07928862349394587, 0.2474, 0.2000
