Experiment Number,Population,WorkPlaces,HousingUnits,RecFacilities,AvgTravelTimeToWork,AvgLifeExpectancy,MaxTravelTimeToRecFacility,PercentMarket,PercentFastFood,PercentNonFastFood,PercentMale,PercentFemale,PercentObese,PercentOverweight,PercentNormal,PercentUnderweight,Percent5andUnder,Percent5to18,Percent18to65,Percent65andOlder,Restaurants,PercentEatingHabitsHealthy,PercentEatingHabitsMediumCalorie,PercentEatingHabitsHighCalorie,PercentPhysicalActivityNotActive,PercentPhysicalActivityLightlyActive,PercentPhysicalActivityModeratelyActive,PercentPhysicalActivityVeryActive,PercentPhysicalActivityExtraActive,PercentHealthInsuredUnder65,PercentHealthInsuredOver65,PercentHealthConscious_Yes,PercentHealthConscious_No,PercentWorkplaceActivityNone,PercentWorkplaceActivityLight,PercentWorkplaceActivityMod,PercentWorkplaceActivityVery,AverageDrivingVelocity,AverageBikingVelocity,AverageWalkingVelocity,PercentDriveToWork,PercentBikeToWork,PercentWalkToWork,AreaSize,annualNumberOfBirths,annualNewBuildings,MedianIncome,PercentWorkplaces_30MinLunch,PercentWorkplaces_60MinLunch,PercentHealthResponse_ASAP,PercentHealthResponse_DoNothing,NeighborDistance_Miles,PercentPeerPressured_Yes,PercentPeerPressured_No,WantNeighborhoods,NumberOfPatients,Market_highCal_min,Market_medCal_min,Market_lowCal_min,Market_highCal_max,Market_medCal_max,Market_lowCal_max,Market_highCal_mode,Market_medCal_mode,Market_lowCal_mode,FastFood_highCal_min,FastFood_medCal_min,FastFood_lowCal_min,FastFood_highCal_max,FastFood_medCal_max,FastFood_lowCal_max,FastFood_highCal_mode,FastFood_medCal_mode,FastFood_lowCal_mode,NonFastFood_highCal_min,NonFastFood_medCal_min,NonFastFood_lowCal_min,NonFastFood_highCal_max,NonFastFood_medCal_max,NonFastFood_lowCal_max,NonFastFood_highCal_mode,NonFastFood_medCal_mode,NonFastFood_lowCal_mode,PercentCurrentPhysicalActivityLevel_Increase,PercentCurrentPhysicalActivityLevel_Decrease,PercentWeeklyCalorieNeed_Increase,PercentWeeklyCalorieNeed_Decrease,Percent BMI > 30: Year 12
1,5500,46,640,9,60,67,48,80,16,4,51,49,10,64,14,12,0,0,100,0,55,20,69,11,60,34,1,1,4,0,0,60,40,30,26,2,42,55,9,1,20,3,77,12,0,0,30000,20,80,30,70,0,100,0,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,6,7,2,9,0.067810977
1,5500,46,640,9,60,67,48,80,16,4,51,49,10,64,14,12,0,0,100,0,55,20,69,11,60,34,1,1,4,0,0,60,40,30,26,2,42,55,9,1,20,3,77,12,0,0,30000,20,80,30,70,0,100,0,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,6,7,2,9,0.067735043
1,5500,46,640,9,60,67,48,80,16,4,51,49,10,64,14,12,0,0,100,0,55,20,69,11,60,34,1,1,4,0,0,60,40,30,26,2,42,55,9,1,20,3,77,12,0,0,30000,20,80,30,70,0,100,0,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,6,7,2,9,0.073472875
1,5500,46,640,9,60,67,48,80,16,4,51,49,10,64,14,12,0,0,100,0,55,20,69,11,60,34,1,1,4,0,0,60,40,30,26,2,42,55,9,1,20,3,77,12,0,0,30000,20,80,30,70,0,100,0,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,6,7,2,9,0.064737406
1,5500,46,640,9,60,67,48,80,16,4,51,49,10,64,14,12,0,0,100,0,55,20,69,11,60,34,1,1,4,0,0,60,40,30,26,2,42,55,9,1,20,3,77,12,0,0,30000,20,80,30,70,0,100,0,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,6,7,2,9,0.066367904
1,5500,46,640,9,60,67,48,80,16,4,51,49,10,64,14,12,0,0,100,0,55,20,69,11,60,34,1,1,4,0,0,60,40,30,26,2,42,55,9,1,20,3,77,12,0,0,30000,20,80,30,70,0,100,0,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,6,7,2,9,0.068356048
1,5500,46,640,9,60,67,48,80,16,4,51,49,10,64,14,12,0,0,100,0,55,20,69,11,60,34,1,1,4,0,0,60,40,30,26,2,42,55,9,1,20,3,77,12,0,0,30000,20,80,30,70,0,100,0,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,6,7,2,9,0.074544684
1,5500,46,640,9,60,67,48,80,16,4,51,49,10,64,14,12,0,0,100,0,55,20,69,11,60,34,1,1,4,0,0,60,40,30,26,2,42,55,9,1,20,3,77,12,0,0,30000,20,80,30,70,0,100,0,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,6,7,2,9,0.061804962
1,5500,46,640,9,60,67,48,80,16,4,51,49,10,64,14,12,0,0,100,0,55,20,69,11,60,34,1,1,4,0,0,60,40,30,26,2,42,55,9,1,20,3,77,12,0,0,30000,20,80,30,70,0,100,0,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,6,7,2,9,0.068119315
1,5500,46,640,9,60,67,48,80,16,4,51,49,10,64,14,12,0,0,100,0,55,20,69,11,60,34,1,1,4,0,0,60,40,30,26,2,42,55,9,1,20,3,77,12,0,0,30000,20,80,30,70,0,100,0,0,1,700,500,300,900,700,500,750,650,400,1200,950,550,1450,1250,850,1300,1100,700,1000,800,500,1200,1100,800,1100,900,670,6,7,2,9,0.064206485
