Id,Current Price,Number of bids,On sale since,Expensive
0-2,343364.32699999993,7,0,0
1-2,408867,0,0,0
2-2,355759.05199999997,0,0,0
3-2,397351.2,1,0,0
4-2,366374.687,2,0,0
5-2,317876.627,8,0,0
6-2,341558.32699999993,3,0,0
7-2,340672.032,8,0,0
8-2,473599.36000000004,2,0,0
9-2,473950,0,0,0
0-3,362650.79409999994,0,0,0
1-3,408867,0,0,0
2-3,368848.1566,0,0,0
3-3,397351.2,0,0,0
4-3,374155.9741,0,0,0
5-3,349906.94409999996,2,0,0
6-3,361747.79409999994,0,0,0
7-3,361304.6466,0,0,0
8-3,473599.36000000004,0,0,0
9-3,473950,0,0,0
0-4,377944.49052999995,0,0,1
1-4,408867,0,0,1
2-4,381043.17178,0,0,1
3-4,397351.2,0,0,1
4-4,383697.08053,0,0,1
5-4,371572.56552999996,0,0,1
6-4,377492.99052999995,0,0,1
7-4,377271.41677999997,0,0,1
8-4,473599.36000000004,0,0,1
9-4,473950,0,0,1
0-5,390111.70904899994,0,0,1
1-5,408867,0,0,1
2-5,391661.049674,0,0,1
3-5,399815.063784,0,0,1
4-5,392988.004049,0,0,1
5-5,386925.746549,0,0,1
6-5,389885.95904899994,0,0,1
7-5,389775.17217399995,0,0,1
8-5,473599.36000000004,0,0,1
9-5,473950,0,0,1
0-6,399934.80774089997,0,0,1
1-6,409312.4532164,0,0,1
2-6,400709.47805339994,0,0,1
3-6,404786.4851084,0,0,1
4-6,401372.95524089993,0,0,1
5-6,398341.82649089996,0,0,1
6-6,399821.93274089997,0,0,1
7-6,399766.5393034,0,0,1
8-6,473599.36000000004,0,0,1
9-6,473950,0,0,1
0-7,408047.19576520997,0,0,1
1-7,412736.01850296,0,0,1
2-7,408434.53092145995,0,0,1
3-7,410473.03444896,0,0,1
4-7,408766.26951520995,0,0,1
5-7,407250.70514021,0,0,1
6-7,407990.75826520997,0,0,1
7-7,407963.06154645997,0,0,1
8-7,473599.36000000004,0,0,1
9-7,473950,0,0,1
0-8,414984.14458788896,0,0,1
1-8,417328.555956764,0,0,1
2-8,415177.812166014,0,0,1
3-8,416197.063929764,0,0,1
4-8,415343.68146288896,0,0,1
5-8,414585.899275389,0,0,1
6-8,414955.92583788896,0,0,1
7-8,414942.07747851394,0,0,1
8-8,473599.36000000004,0,0,1
9-8,473950,0,0,1
0-9,421045.29832870007,0,0,1
1-9,422217.50401313754,0,0,1
